Place,latitude,longitude,name,desc
Ceres Island,-51.86787,-74.01194,Ceres Island Chile,Ceres Island Chile
Cerros Island,28.1901766,-115.2126293,Cerros Island,Isla Cedros Baja California Mexico
Chatham Island,-43.9120964,-176.5433025,Chatham Island,Chatham Islands New Zealand
Christina’s Island,-64.8,-64.0355217,Christine Island Antarctica,Christine Island Antarctica
Christmas Island,-10.447525,105.690449,Christmas Island,6798 Christmas Island
Chriswells Islands,38.9459495,-76.559837,Chriswells Islands,Solomons Island
Coast of Africa,7.539989,-5.54708,Coast of Africa,Côte d'Ivoire
Coast of Kamchatka,56.1327407,159.5292458,Coast of Kamchatka,Coast of Kamchatka
Concepcion Point,34.4485977,-120.4715514,Concepcion Point,Point Conception California 93436 USA
Cooper’s Island,18.3847054,-64.5127273,Cooper’s Island,British Virgin Islands
Copper Island,46.3179962,-83.9678805,Copper Island,Copper Island St. Joseph ON Canada
Cross Sound,58.177778,-136.51,Cross Sound AK,Cross Sound AK
Crown Island,,,,
Crozete Islands,-46.2141697,51.2485294,Crozete Islands,Iles Crozet
Dagelet Island,37.5063677,130.8571536,Dagelet Island,Dagelet Island
Dagettoo Island,37.5063677,130.8571536,Dagelet Island,Dagelet Island
De la Mocha (Chile),-36.833333,-72.1,De la Mocha (Chile),La Mocha San Ignacio Región del Bío Bío Chile
Deans Islans,35.4284172,-90.041201,Deans Islans,Deans Island Golden Lake Township AR 72350 USA
Dec 14 1850 p. 85 Macauley Island New Zealand,-30.2332381,-178.428272,Macauley Island,Macauley Island New Zealand
Diamond Bay,-38.3542396,140.2599624,Diamond Bay,Diamond Bay Victoria Aus
Diamond Head,21.2637984,-157.8040943,Diamond Head,Diamond Head State Monument Honolulu HI 96815 USA
Diego Ramires,-56.4898263,-68.7236854,Diego Ramires,Diego Ramírez Islands
Diego Ramirez,-56.4898263,-68.7236854,Diego Ramirez,Diego Ramírez Islands
Diegos,19.3458826,-98.9953095,Diegos,Diegos San Miguel Teotongo 09630 Ciudad de México CDMX Mexico
