Place,latitude,longitude,name,desc
Straits of Korea,34.3333333,128.2127279,Straits of Korea,Straits of Korea
Strong’s Island,49.482664,-54.784879,Strong’s Island,Strong's Island Summerford NL A0G Canada
Sulner(?) Island,,,,
Sunday Island,48.3743658,-122.5848336,Sunday Island,Sunday Dr Oak Harbor WA 98277 USA
Tahiti,-17.6509195,-149.4260421,Tahiti,Tahiti French Polynesia
Tahkinsh Island,52.1852778,-174.1608333,Taagan'gisix AK,Taagan'gisix AK
Tailors Bay,-7.4783777,178.6623714,Tuvalu,Tuvalu
Talcahuano,-36.7247834,-73.1169808,Talcahuano,Talcahuano Bío Bío Region Chile
Terceira,38.7216415,-27.2205771,Terceira,Terceira Island Portugal
Terceria Island,38.7216415,-27.2205771,Terceria Island,Terceira Island Portugal
Three Kings Island,-34.1599892,172.1002487,Three Kings Island,Three Kings Islands New Zealand
Tierra Del Fuego,-54,-70,Tierra Del Fuego,Tierra del Fuego Magallanes y la Antártica Chilena Region Chile
Tigalda Island,54.0877196,-165.0782105,Tigalda Island,Tigalda Island Alaska USA
Timo-shee Island,37.241667,131.866667,Takeshima Island Japan,Takeshima Island Japan
Tinian Island,15.0043455,145.6356577,Tinian Island,Tinian CNMI
Trinidad,10.691803,-61.222503,Trinidad,Trinidad and Tobago
Tristan Da Cunha Island,-37.1052489,-12.2776838,Tristan Da Cunha Island,Tristan da Cunha TDCU 1ZZ Saint Helena Ascension and Tristan da Cunha
Tristan da Cunha,-37.1052489,-12.2776838,Tristan da Cunha,Tristan da Cunha TDCU 1ZZ Saint Helena Ascension and Tristan da Cunha
Tumbes,-3.5564921,-80.4270885,Tumbes,Tumbes Peru
Turtle Bay,21.701667,-158.001667,Turtle Bay Oahu,Turtle Bay Oahu
Unimak Island,54.7265729,-164.2169519,Unimak Island,Unimak Island Alaska USA
Valparaiso,-33.0506309,-71.6461539,Valparaiso Chile,Valparaiso Chile
Vonalashka Island,53.5828282,-166.8882779,Vonalashka Island,Unalaska Island Alaska USA
Walwich Bay,-33.840211,151.171115,Walwich Bay,2 Gale St Woolwich NSW 2110 Australia
Wellington Island,-41.2864603,174.776236,Wellington Island,Wellington New Zealand
Whytootake Island,-18.8579523,-159.7852843,Whytootake Island,Aitutaki Cook Islands
Whytotau,-18.8579523,-159.7852843,Whytootake Island,Aitutaki Cook Islands
“Chasel Islands”,,,,
“Pendleton Island” (unfamiliar island near Rarotonga that Captain Pendleton named after himself),-21.2292371,-159.7763491,Rarotonga,Rarotonga Cook Islands
